County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
Puerto Rico,72001,25096,3141
"Randolph County, Georgia",13243,25425,3140
"Jackson County, South Dakota",46071,26686,3139
"East Carroll Parish, Louisiana",22035,28321,3138
"Presidio County, Texas",48377,29014,3137
"Wolfe County, Kentucky",21237,29052,3136
"Issaquena County, Mississippi",28055,29271,3135
"Holmes County, Mississippi",28051,29434,3134
"McDowell County, West Virginia",54047,29980,3133
"Lake County, Tennessee",47095,30500,3132
"Owsley County, Kentucky",21189,31064,3131
"Brooks County, Texas",48047,31310,3130
"Greene County, Alabama",1063,31495,3129
"Allendale County, South Carolina",45005,31603,3128
"Claiborne Parish, Louisiana",22027,31784,3127
"Hancock County, Tennessee",47067,31995,3126
"Quitman County, Mississippi",28119,32131,3125
"Bell County, Kentucky",21013,32403,3124
"Jeff Davis County, Texas",48243,32625,3123
"Humphreys County, Mississippi",28053,32976,3122
"Knox County, Kentucky",21121,33153,3121
"Hancock County, Georgia",13141,33182,3120
"Leflore County, Mississippi",28083,33188,3119
"Dimmit County, Texas",48127,33409,3118
"Magoffin County, Kentucky",21153,33632,3117
"Lee County, Kentucky",21129,34182,3116
"Perry County, Alabama",1105,34368,3115
"Claiborne County, Mississippi",28021,34371,3114
"Marion County, South Carolina",45067,34501,3113
"Oglala Lakota County, South Dakota",46102,34769,3112
"Bienville Parish, Louisiana",22013,34992,3111
"Stewart County, Georgia",13259,35000,3110
"Hickory County, Missouri",29085,35084,3109
"Lowndes County, Alabama",1085,35160,3108
"Amite County, Mississippi",28005,35385,3107
"Sharkey County, Mississippi",28125,35741,3106
"Wilkinson County, Mississippi",28157,35930,3105
"Desha County, Arkansas",5041,36064,3104
"Tensas Parish, Louisiana",22107,36074,3103
"Jefferson County, Mississippi",28063,36207,3102
"Coahoma County, Mississippi",28027,36259,3101
"Marlboro County, South Carolina",45069,36293,3100
"Costilla County, Colorado",8023,36519,3099
"Zapata County, Texas",48505,36527,3098
"Bullock County, Alabama",1011,36723,3097
"Wayne County, Mississippi",28153,36791,3096
"Dallas County, Alabama",1047,36810,3095
"Fulton County, Kentucky",21075,36834,3094
"Quitman County, Georgia",13239,36838,3093
"Lee County, Arkansas",5077,36860,3092
"Jenkins County, Georgia",13165,36906,3091
"Morehouse Parish, Louisiana",22067,36981,3090
"Macon County, Georgia",13193,37177,3089
"Jefferson Davis County, Mississippi",28065,37183,3088
"Harlan County, Kentucky",21095,37198,3087
"Lafayette County, Arkansas",5073,37237,3086
"Madison Parish, Louisiana",22065,37267,3085
"Bolivar County, Mississippi",28011,37315,3084
"Concordia Parish, Louisiana",22029,37349,3083
"McCreary County, Kentucky",21147,37355,3082
"Tallahatchie County, Mississippi",28135,37383,3081
"Webster Parish, Louisiana",22119,37396,3080
"Knott County, Kentucky",21119,37736,3079
"Sierra County, New Mexico",35051,37840,3078
"Luna County, New Mexico",35029,37917,3077
"Sumter County, Alabama",1119,37981,3076
"Lincoln Parish, Louisiana",22061,38035,3075
"Starr County, Texas",48427,38182,3074
"Tunica County, Mississippi",28143,38402,3073
"Atkinson County, Georgia",13003,38438,3072
"Norton City, Virginia",51720,38497,3071
"Edwards County, Texas",48137,38500,3070
"Stone County, Arkansas",5137,38531,3069
"Noxubee County, Mississippi",28103,38814,3068
"Phillips County, Arkansas",5107,38874,3067
"Glades County, Florida",12043,38905,3066
"Fulton County, Arkansas",5049,38941,3065
"Swisher County, Texas",48437,39031,3064
"Ben Hill County, Georgia",13017,39081,3063
"Todd County, South Dakota",46121,39148,3062
"Hudspeth County, Texas",48229,39336,3061
"Avoyelles Parish, Louisiana",22009,39439,3060
"Mingo County, West Virginia",54059,39527,3059
"Bradley County, Arkansas",5011,39565,3057
"Turner County, Georgia",13287,39565,3057
"Clay County, Kentucky",21051,39607,3056
"Cumberland County, Kentucky",21057,39662,3055
"Chicot County, Arkansas",5017,39683,3054
"Powell County, Kentucky",21197,39811,3053
"Clay County, Mississippi",28025,39904,3052
"Elliott County, Kentucky",21063,40074,3051
"Washington County, Mississippi",28151,40117,3050
"Guadalupe County, New Mexico",35019,40149,3049
"Leslie County, Kentucky",21131,40176,3048
"Monroe County, Alabama",1099,40225,3047
"Adams County, Mississippi",28001,40250,3046
"Sunflower County, Mississippi",28133,40265,3045
"Robeson County, North Carolina",37155,40318,3044
"Apache County, Arizona",4001,40338,3043
"Baca County, Colorado",8009,40380,3042
"Letcher County, Kentucky",21133,40501,3041
"Pemiscot County, Missouri",29155,40748,3040
"Webster County, Georgia",13307,40764,3039
"DeBaca County, New Mexico",35011,40804,3038
"Jeff Davis County, Georgia",13161,40879,3037
"Yazoo County, Mississippi",28163,40974,3036
"Newton County, Texas",48351,41044,3035
"Latimer County, Oklahoma",40077,41048,3034
"Drew County, Arkansas",5043,41071,3033
"Green County, Kentucky",21087,41087,3032
"Breathitt County, Kentucky",21025,41101,3031
"Briscoe County, Texas",48045,41188,3030
"Pocahontas County, West Virginia",54075,41200,3028
"Union County, South Carolina",45087,41200,3028
"Jackson County, Arkansas",5067,41215,3027
"Harding County, New Mexico",35021,41250,3026
"Hale County, Alabama",1065,41325,3025
"Jackson County, Kentucky",21109,41410,3024
"Calhoun County, West Virginia",54013,41421,3023
"Galax City, Virginia",51640,41438,3022
"Jackson County, Tennessee",47087,41475,3021
"Pike County, Mississippi",28113,41578,3020
"Floyd County, Kentucky",21071,41582,3019
"Lewis County, Kentucky",21135,41632,3018
"Sioux County, North Dakota",38085,41676,3017
"Casey County, Kentucky",21045,41689,3016
"Whitley County, Kentucky",21235,41719,3015
"Taylor County, Georgia",13269,41743,3014
"Washington County, North Carolina",37187,41750,3013
"Nevada County, Arkansas",5099,41761,3012
"St. Francis County, Arkansas",5123,41784,3011
"Barnwell County, South Carolina",45011,41800,3010
"Jackson County, Colorado",8057,41809,3009
"Sumter County, Georgia",13261,41877,3008
"Zavala County, Texas",48507,41887,3007
"Wayne County, Kentucky",21231,41933,3006
"Searcy County, Arkansas",5129,41978,3005
"Webster County, West Virginia",54101,42061,3004
"Kiowa County, Oklahoma",40075,42063,3003
"Cochran County, Texas",48079,42137,3002
"Benton County, Mississippi",28009,42139,3001
"Clinton County, Kentucky",21053,42168,3000
"Pike County, Kentucky",21195,42179,2999
"Foard County, Texas",48155,42212,2998
"Buchanan County, Virginia",51027,42216,2997
"Jim Hogg County, Texas",48247,42230,2996
"Wilcox County, Alabama",1131,42236,2995
"Conecuh County, Alabama",1035,42266,2994
"Lee County, Virginia",51105,42269,2993
"Evangeline Parish, Louisiana",22039,42273,2992
"Baylor County, Texas",48023,42313,2991
"Marion County, Mississippi",28091,42320,2990
"Ozark County, Missouri",29153,42329,2989
"Martinsville City, Virginia",51690,42434,2988
"Summers County, West Virginia",54089,42544,2987
"Culberson County, Texas",48109,42672,2986
"Scott County, Tennessee",47151,42679,2985
"Covington City, Virginia",51580,42724,2984
"Crisp County, Georgia",13081,42745,2983
"Washington Parish, Louisiana",22117,42776,2982
"Danville City, Virginia",51590,42778,2981
"Clay County, West Virginia",54015,42790,2980
"Grayson County, Virginia",51077,42864,2979
"Sharp County, Arkansas",5135,42950,2978
"Johnson County, Kentucky",21115,43014,2977
"Chickasaw County, Mississippi",28017,43041,2976
"Hampton County, South Carolina",45049,43059,2975
"Bamberg County, South Carolina",45009,43206,2974
"Orangeburg County, South Carolina",45075,43214,2973
"Pulaski County, Illinois",17153,43227,2972
"Butte County, Idaho",16023,43281,2971
"Jackson Parish, Louisiana",22049,43345,2970
"Lawrence County, Mississippi",28077,43368,2969
"Wayne County, Missouri",29223,43393,2968
"Williamsburg County, South Carolina",45089,43471,2967
"Oktibbeha County, Mississippi",28105,43482,2966
"Scotland County, North Carolina",37165,43500,2965
"Haywood County, Tennessee",47075,43513,2964
"Alexander County, Illinois",17003,43523,2963
"Kemper County, Mississippi",28069,43595,2962
"Richmond County, North Carolina",37153,43626,2961
"Quay County, New Mexico",35037,43698,2960
"Appling County, Georgia",13001,43728,2959
"Corson County, South Dakota",46031,43750,2957
"Treutlen County, Georgia",13283,43750,2957
"Terrell County, Georgia",13273,43812,2956
"Dickenson County, Virginia",51051,43831,2955
"Ripley County, Missouri",29181,43898,2954
"Estill County, Kentucky",21065,43905,2953
"Calhoun County, Mississippi",28013,43942,2952
"Tyrrell County, North Carolina",37177,43952,2951
"Monroe County, Arkansas",5095,43955,2950
"Panola County, Mississippi",28107,43990,2949
"Washington County, Georgia",13303,44009,2948
"Dillon County, South Carolina",45033,44038,2947
"Franklin Parish, Louisiana",22041,44103,2946
"Lee County, South Carolina",45061,44145,2945
"Lawrence County, Arkansas",5075,44164,2944
"Marengo County, Alabama",1091,44205,2943
"Anson County, North Carolina",37007,44245,2942
"Oregon County, Missouri",29149,44259,2941
"Alleghany County, North Carolina",37005,44272,2940
"Barbour County, Alabama",1005,44290,2939
"Reynolds County, Missouri",29179,44357,2938
"Lanier County, Georgia",13173,44361,2937
"Baker County, Georgia",13007,44405,2936
"Escambia County, Alabama",1053,44447,2935
"Braxton County, West Virginia",54007,44449,2934
"Ashley County, Arkansas",5003,44481,2933
"Choctaw County, Alabama",1023,44483,2932
"Howard County, Arkansas",5061,44492,2931
"McKinley County, New Mexico",35031,44496,2930
"Bladen County, North Carolina",37017,44528,2929
"Red River Parish, Louisiana",22081,44539,2928
"Bennett County, South Dakota",46007,44569,2927
"Pickett County, Tennessee",47137,44591,2926
"Pushmataha County, Oklahoma",40127,44634,2925
"Piute County, Utah",49031,44650,2924
"Menifee County, Kentucky",21165,44672,2923
"Dallas County, Arkansas",5039,44694,2922
"Bristol City, Virginia",51520,44706,2921
"Clay County, Tennessee",47027,44712,2920
"Garden County, Nebraska",31069,44777,2919
"Lenoir County, North Carolina",37107,44795,2918
"Johnson County, Arkansas",5071,44808,2917
"Ware County, Georgia",13299,44833,2916
"Butler County, Alabama",1013,44881,2915
"Telfair County, Georgia",13271,44948,2914
"Caldwell Parish, Louisiana",22021,44957,2913
"Taylor County, Florida",12123,44985,2912
"Montgomery County, Mississippi",28097,45057,2911
"Halifax County, North Carolina",37083,45071,2910
"Carter County, Missouri",29035,45083,2909
"Talbot County, Georgia",13263,45098,2908
"Glacier County, Montana",30035,45129,2907
"Scott County, Virginia",51169,45136,2906
"Prairie County, Montana",30079,45192,2905
"Roane County, West Virginia",54087,45194,2904
"Perry County, Kentucky",21193,45261,2903
"Wheeler County, Georgia",13309,45262,2902
"Acadia Parish, Louisiana",22001,45266,2901
"Warren County, North Carolina",37185,45279,2900
"Union County, New Mexico",35059,45319,2899
"Real County, Texas",48385,45417,2898
"Okfuskee County, Oklahoma",40107,45441,2897
"Walthall County, Mississippi",28147,45444,2896
"Choctaw County, Oklahoma",40023,45456,2895
"Jackson County, Illinois",17077,45572,2894
"Grundy County, Tennessee",47061,45573,2893
"Cedar County, Missouri",29039,45577,2892
"Lawrence County, Kentucky",21127,45584,2891
"Franklin County, Mississippi",28037,45618,2890
"St. Landry Parish, Louisiana",22097,45637,2889
"Willacy County, Texas",48489,45645,2888
"Union Parish, Louisiana",22111,45743,2887
"Tazewell County, Virginia",51185,45788,2886
"McMullen County, Texas",48311,45833,2885
"Hooker County, Nebraska",31091,45854,2884
"Terry County, Texas",48445,45905,2883
"Grant County, New Mexico",35017,45921,2882
"Bertie County, North Carolina",37015,45931,2881
"Macon County, Alabama",1087,45951,2880
"Scott County, Arkansas",5127,45955,2879
"Gadsden County, Florida",12039,46047,2878
"Clarke County, Mississippi",28023,46054,2877
"De Soto Parish, Louisiana",22031,46077,2876
"Overton County, Tennessee",47133,46159,2875
"Worth County, Missouri",29227,46167,2874
"Hardeman County, Tennessee",47069,46173,2873
"Martin County, Kentucky",21159,46185,2872
"Decatur County, Tennessee",47039,46190,2871
"Seminole County, Oklahoma",40133,46191,2870
"McIntosh County, Oklahoma",40091,46203,2869
"Torrance County, New Mexico",35057,46250,2868
"Tishomingo County, Mississippi",28141,46257,2867
"Mississippi County, Missouri",29133,46258,2866
"San Augustine County, Texas",48405,46338,2865
"Winn Parish, Louisiana",22127,46368,2864
"Coke County, Texas",48081,46431,2863
"Catron County, New Mexico",35003,46439,2862
"Jefferson County, Georgia",13163,46561,2861
"Claiborne County, Tennessee",47025,46587,2860
"Wilkinson County, Georgia",13319,46673,2859
"Meigs County, Ohio",39105,46701,2858
"Hall County, Texas",48191,46728,2857
"St. Clair County, Missouri",29185,46731,2856
"Warren County, Georgia",13301,46776,2855
"Dougherty County, Georgia",13095,46784,2854
"Martin County, North Carolina",37117,46793,2853
"Natchitoches Parish, Louisiana",22069,46798,2852
"Smyth County, Virginia",51173,46859,2851
"Calhoun County, Florida",12013,46901,2850
"Red River County, Texas",48387,46912,2849
"Vance County, North Carolina",37181,46943,2848
"Marion County, Arkansas",5089,46953,2847
"Fairfield County, South Carolina",45039,46972,2846
"Terrell County, Texas",48443,46989,2845
"Buffalo County, South Dakota",46017,47000,2844
"Covington County, Mississippi",28031,47001,2843
"Crittenden County, Kentucky",21055,47003,2842
"Cross County, Arkansas",5037,47012,2841
"Pickens County, Alabama",1107,47014,2840
"Lincoln County, Montana",30053,47018,2839
"Wheatland County, Montana",30107,47054,2838
"Jasper County, Mississippi",28061,47157,2837
"Poinsett County, Arkansas",5111,47188,2836
"Conejos County, Colorado",8021,47209,2835
"Logan County, West Virginia",54045,47237,2834
"Putnam County, Florida",12107,47256,2833
"Van Buren County, Arkansas",5141,47266,2832
"Wright County, Missouri",29229,47304,2831
"Jackson County, Florida",12063,47327,2830
"Ziebach County, South Dakota",46137,47333,2829
"Hyde County, North Carolina",37095,47338,2828
"Columbia County, Arkansas",5027,47363,2827
"Dunklin County, Missouri",29069,47368,2826
"Newton County, Arkansas",5101,47395,2825
"San Miguel County, New Mexico",35047,47400,2824
"Darlington County, South Carolina",45031,47419,2823
"Tillman County, Oklahoma",40141,47445,2822
"Lamar County, Alabama",1075,47447,2820
"Marion County, Texas",48315,47447,2820
"Hertford County, North Carolina",37091,47472,2819
"Jim Wells County, Texas",48249,47492,2818
"Morgan County, Kentucky",21175,47493,2817
"Socorro County, New Mexico",35053,47556,2816
"Blackford County, Indiana",18009,47560,2815
"Crowley County, Colorado",8025,47563,2814
"Chesterfield County, South Carolina",45025,47620,2813
"Hempstead County, Arkansas",5057,47654,2812
"Dixie County, Florida",12029,47655,2811
"Brooks County, Georgia",13027,47656,2810
"Cameron County, Pennsylvania",42023,47681,2809
"Pulaski County, Georgia",13235,47688,2808
"Hamilton County, Florida",12047,47696,2807
"Izard County, Arkansas",5065,47728,2806
"Catahoula Parish, Louisiana",22025,47753,2805
"Iosco County, Michigan",26069,47777,2804
"Chattooga County, Georgia",13055,47785,2803
"Mercer County, West Virginia",54055,47799,2802
"Brantley County, Georgia",13025,47801,2801
"Montmorency County, Michigan",26119,47803,2800
"Hughes County, Oklahoma",40063,47923,2799
"Northampton County, North Carolina",37131,47935,2798
"Pike County, Alabama",1109,47961,2797
"Copiah County, Mississippi",28029,47994,2796
"Grenada County, Mississippi",28043,47998,2795
"Adair County, Oklahoma",40001,48028,2794
"Winston County, Alabama",1133,48032,2793
"Taliaferro County, Georgia",13265,48036,2791
"Wilcox County, Georgia",13315,48036,2791
"Wyoming County, West Virginia",54109,48038,2790
"Texas County, Missouri",29215,48055,2789
"Attala County, Mississippi",28007,48098,2788
"McDonald County, Missouri",29119,48145,2787
"Woodson County, Kansas",20207,48152,2786
"Coal County, Oklahoma",40029,48162,2785
"Madison County, Florida",12079,48176,2784
"Columbus County, North Carolina",37047,48184,2783
"Menard County, Texas",48327,48191,2782
"Kusilvak Census Area, Alaska",2158,48233,2781
"Holmes County, Florida",12059,48236,2780
"Monroe County, Missouri",29137,48299,2779
"Lincoln County, Mississippi",28085,48316,2778
"Choctaw County, Mississippi",28019,48321,2777
"Harney County, Oregon",41025,48338,2776
"Barbour County, West Virginia",54001,48347,2775
"Rockcastle County, Kentucky",21203,48367,2774
"Cocke County, Tennessee",47029,48416,2773
"Leake County, Mississippi",28079,48418,2772
"Baxter County, Arkansas",5005,48427,2771
"Carter County, Tennessee",47019,48435,2770
"Henry County, Virginia",51089,48445,2769
"Edgecombe County, North Carolina",37065,48480,2768
"DeKalb County, Tennessee",47041,48484,2767
"Scott County, Mississippi",28123,48492,2766
"Clay County, Arkansas",5021,48500,2765
"West Carroll Parish, Louisiana",22123,48514,2764
"Charlton County, Georgia",13049,48534,2763
"Henry County, Tennessee",47079,48540,2762
"Jefferson County, Arkansas",5069,48552,2761
"Metcalfe County, Kentucky",21169,48572,2760
"Lincoln County, West Virginia",54043,48593,2759
"Ottawa County, Oklahoma",40115,48656,2758
"Greenbrier County, West Virginia",54025,48662,2757
"Hopewell City, Virginia",51670,48681,2756
"Clay County, Georgia",13061,48715,2755
"Jefferson County, Oklahoma",40067,48750,2754
"Colleton County, South Carolina",45029,48779,2753
"Clarendon County, South Carolina",45027,48887,2752
"Charlotte County, Virginia",51037,48892,2751
"Payne County, Oklahoma",40119,48937,2750
"Niobrara County, Wyoming",56027,48987,2749
"Crawford County, Indiana",18025,48993,2748
"Montgomery County, Arkansas",5097,49015,2747
"Russell County, Virginia",51167,49020,2746
"Bronx County, New York",36005,49036,2745
"Graham County, North Carolina",37075,49038,2744
"Crenshaw County, Alabama",1041,49040,2743
"Cherokee County, South Carolina",45021,49047,2742
"Winston County, Mississippi",28159,49071,2741
"Hidalgo County, New Mexico",35023,49076,2740
"Hardin County, Tennessee",47071,49149,2739
"Clarke County, Alabama",1025,49167,2738
"Barren County, Kentucky",21009,49171,2736
"Yalobusha County, Mississippi",28161,49171,2736
"Bent County, Colorado",8011,49194,2735
"Lauderdale County, Tennessee",47097,49205,2734
"Butler County, Missouri",29023,49213,2733
"New Madrid County, Missouri",29143,49237,2732
"Halifax County with South Boston City, Virginia",51083,49244,2731
"Polk County, Arkansas",5113,49252,2730
"Nicholas County, West Virginia",54067,49280,2729
"Chambers County, Alabama",1017,49295,2728
"Hardy County, West Virginia",54031,49302,2727
"Emporia City, Virginia",51595,49375,2726
"Alcorn County, Mississippi",28003,49404,2725
"Comanche County, Kansas",20033,49417,2724
"Monroe County, Kentucky",21171,49430,2723
"Jackson County, Alabama",1071,49454,2722
"Lewis County, Tennessee",47101,49477,2721
"Weakley County, Tennessee",47183,49502,2720
"Barton County, Missouri",29011,49503,2719
"La Paz County, Arizona",4012,49506,2718
"Adams County, Ohio",39001,49521,2717
"Deer Lodge County, Montana",30023,49533,2716
"Pike County, Ohio",39131,49552,2715
"Seminole County, Georgia",13253,49559,2714
"Wayne County, Georgia",13305,49562,2713
"Scioto County, Ohio",39145,49571,2712
"Lewis County, Idaho",16061,49643,2711
"Hart County, Kentucky",21099,49653,2710
"Bledsoe County, Tennessee",47007,49655,2709
"Fleming County, Kentucky",21069,49663,2707
"Morgan County, Missouri",29141,49663,2707
"Gogebic County, Michigan",26053,49672,2706
"Lake County, Michigan",26085,49680,2705
"Colquitt County, Georgia",13071,49691,2704
"Laurens County, Georgia",13175,49705,2703
"Elbert County, Georgia",13105,49727,2702
"Rutherford County, North Carolina",37161,49771,2701
"Sequoyah County, Oklahoma",40135,49795,2700
"Clare County, Michigan",26035,49805,2699
"Howell County, Missouri",29091,49814,2698
"Douglas County, Missouri",29067,49828,2697
"Ouachita County, Arkansas",5103,49838,2696
"Walker County, Texas",48471,49862,2695
"Grayson County, Kentucky",21085,49893,2694
"Dade County, Missouri",29057,49899,2693
"Malheur County, Oregon",41045,49902,2692
"Jasper County, Texas",48241,49919,2691
"Haskell County, Oklahoma",40061,49930,2690
"Hinds County, Mississippi",28049,49966,2689
"Shoshone County, Idaho",16079,49975,2688
"Woodruff County, Arkansas",5147,49982,2687
"Miller County, Arkansas",5091,49983,2686
"Le Flore County, Oklahoma",40079,50027,2685
"Lauderdale County, Mississippi",28075,50033,2684
"Russell County, Alabama",1113,50046,2683
"Emanuel County, Georgia",13107,50053,2682
"Forest County, Pennsylvania",42053,50061,2681
"Caddo Parish, Louisiana",22017,50067,2680
"Duval County, Texas",48131,50081,2679
"Cook County, Georgia",13075,50133,2678
"Dodge County, Georgia",13091,50152,2677
"Nolan County, Texas",48353,50160,2676
"Coffee County, Georgia",13069,50175,2674
"McCurtain County, Oklahoma",40089,50175,2674
"Mora County, New Mexico",35033,50178,2673
"Craig County, Oklahoma",40035,50182,2672
"St. Helena Parish, Louisiana",22091,50193,2671
"Union County, Arkansas",5139,50221,2670
"Ritchie County, West Virginia",54085,50256,2669
"Campbell County, Tennessee",47013,50260,2668
"Norton County, Kansas",20137,50305,2667
"Bacon County, Georgia",13005,50310,2666
"Crawford County, Kansas",20037,50311,2665
"Adair County, Kentucky",21001,50316,2664
"McIntosh County, Georgia",13191,50348,2663
"Unicoi County, Tennessee",47171,50381,2662
"Carter County, Kentucky",21043,50389,2661
"Carroll County, Tennessee",47017,50391,2660
"Las Animas County, Colorado",8071,50408,2659
"Berrien County, Georgia",13019,50414,2658
"Dickens County, Texas",48125,50417,2657
"Newton County, Mississippi",28101,50426,2656
"Candler County, Georgia",13043,50431,2655
"McDonough County, Illinois",17109,50434,2654
"Benton County, Tennessee",47005,50435,2652
"Perry County, Mississippi",28111,50435,2652
"Shelby County, Texas",48419,50436,2651
"Wilkes County, North Carolina",37193,50438,2650
"Potter County, Texas",48375,50448,2649
"Marion County, Georgia",13197,50484,2648
"Decatur County, Georgia",13087,50485,2647
"Perry County, Tennessee",47135,50489,2646
"Cleveland County, Arkansas",5025,50509,2645
"Woods County, Oklahoma",40151,50512,2644
"Russell County, Kentucky",21207,50520,2643
"Garza County, Texas",48169,50545,2642
"Graves County, Kentucky",21083,50576,2641
"Oscoda County, Michigan",26135,50581,2640
"Mineral County, Nevada",32021,50584,2639
"Greenwood County, South Carolina",45047,50635,2638
"Tyler County, Texas",48457,50647,2637
"Lincoln County, Georgia",13181,50688,2636
"Marion County, Alabama",1093,50714,2634
"McNairy County, Tennessee",47109,50714,2634
"Fayette County, Alabama",1057,50733,2633
"Burke County, Georgia",13033,50739,2632
"Wise County, Virginia",51195,50740,2631
"Petersburg City, Virginia",51730,50741,2630
"Bibb County, Georgia",13021,50747,2629
"Cherokee County, Alabama",1019,50769,2628
"Laclede County, Missouri",29105,50825,2627
"Ashe County, North Carolina",37009,50827,2626
"Lincoln County, Kentucky",21137,50862,2625
"Fentress County, Tennessee",47049,50865,2624
"DeSoto County, Florida",12027,50868,2623
"Covington County, Alabama",1039,50886,2622
"Greene County, North Carolina",37079,50904,2620
"Upson County, Georgia",13293,50904,2620
"Johnston County, Oklahoma",40069,50911,2619
"Patrick County, Virginia",51141,50938,2618
"Pulaski County, Kentucky",21199,50943,2617
"Geneva County, Alabama",1061,50951,2616
"Clark County, Arkansas",5019,50985,2615
"Gilmer County, West Virginia",54021,50991,2614
"Pike County, Arkansas",5109,51000,2613
"Loving County, Texas",48301,51087,2612
"Prairie County, Arkansas",5117,51094,2611
"Allen Parish, Louisiana",22003,51138,2610
"Tippah County, Mississippi",28139,51141,2609
"Jones County, Mississippi",28067,51143,2608
"Appanoose County, Iowa",19007,51146,2607
"DeKalb County, Alabama",1049,51149,2606
"Iron County, Missouri",29093,51161,2605
"Montgomery County, Georgia",13209,51188,2604
"Conway County, Arkansas",5029,51212,2603
"Bibb County, Alabama",1007,51215,2602
"Chester County, South Carolina",45023,51216,2601
"Monroe County, Mississippi",28095,51231,2600
"Ouachita Parish, Louisiana",22073,51241,2599
"Wheeler County, Oregon",41069,51250,2598
"Maverick County, Texas",48323,51270,2597
"Cameron County, Texas",48061,51334,2596
"Grainger County, Tennessee",47057,51351,2595
"Mellette County, South Dakota",46095,51364,2594
"Watauga County, North Carolina",37189,51367,2593
"Wilson County, North Carolina",37195,51381,2592
"Smith County, Mississippi",28129,51396,2591
"Alamosa County, Colorado",8003,51445,2590
"Clark County, Missouri",29045,51458,2589
"Prentiss County, Mississippi",28117,51466,2588
"Mason County, Kentucky",21161,51473,2587
"Franklin County, Alabama",1059,51493,2586
"Cherokee County, North Carolina",37039,51496,2585
"Nacogdoches County, Texas",48347,51528,2584
"Brown County, Nebraska",31017,51538,2583
"Randolph County, Alabama",1111,51551,2582
"Wilbarger County, Texas",48487,51626,2581
"Sevier County, Arkansas",5133,51641,2580
"Lincoln County, New Mexico",35027,51643,2579
"Trinity County, Texas",48455,51663,2578
"Lincoln County, Arkansas",5079,51667,2577
"Mecklenburg County, Virginia",51117,51691,2576
"Eastland County, Texas",48133,51741,2575
"Cibola County, New Mexico",35006,51765,2574
"St. Mary Parish, Louisiana",22101,51768,2573
"Ontonagon County, Michigan",26131,51844,2572
"Clay County, Alabama",1027,51852,2571
"Calloway County, Kentucky",21035,51854,2570
"Upshur County, West Virginia",54097,51859,2569
"Marshall County, Mississippi",28093,51875,2568
"Duplin County, North Carolina",37061,51880,2567
"Washington County, Missouri",29221,51886,2566
"Mitchell County, Georgia",13205,51908,2565
"Alpena County, Michigan",26007,51909,2564
"Franklin County, Arkansas",5047,51919,2562
"McCulloch County, Texas",48307,51919,2562
"Ogemaw County, Michigan",26129,51983,2561
"Muskogee County, Oklahoma",40101,51999,2560
"Butler County, Kentucky",21031,52003,2559
"Hitchcock County, Nebraska",31087,52016,2558
"Chaves County, New Mexico",35005,52029,2557
"Decatur County, Kansas",20039,52030,2556
"Atoka County, Oklahoma",40005,52034,2555
"Sabine Parish, Louisiana",22085,52047,2554
"Raleigh County, West Virginia",54081,52055,2553
"Lemhi County, Idaho",16059,52057,2552
"Clark County, Idaho",16033,52083,2551
"Abbeville County, South Carolina",45001,52112,2550
"Brooke County, West Virginia",54009,52116,2549
"Shelby County, Missouri",29205,52127,2548
"Huerfano County, Colorado",8055,52139,2547
"Johnson County, Tennessee",47091,52152,2546
"Carter County, Montana",30011,52171,2545
"Crosby County, Texas",48107,52197,2544
"Benton County, Missouri",29015,52200,2543
"White County, Tennessee",47185,52206,2542
"Washington County, Maine",23029,52237,2541
"Little River County, Arkansas",5081,52241,2540
"Sequatchie County, Tennessee",47153,52260,2539
"Franklin County, Georgia",13119,52264,2537
"Stephens County, Georgia",13257,52264,2537
"Clarke County, Georgia",13059,52267,2536
"Lewis County, West Virginia",54041,52279,2535
"Hidalgo County, Texas",48215,52281,2534
"Okeechobee County, Florida",12093,52288,2533
"Upton County, Texas",48461,52321,2532
"Beckham County, Oklahoma",40009,52323,2531
"Robertson County, Kentucky",21201,52337,2530
"Lewis County, Missouri",29111,52340,2529
"Jewell County, Kansas",20089,52344,2528
"Tattnall County, Georgia",13267,52351,2527
"Coleman County, Texas",48083,52364,2526
"Gregory County, South Dakota",46053,52432,2525
"Roosevelt County, New Mexico",35041,52445,2524
"Mineral County, Colorado",8079,52455,2523
"Somerset County, Maryland",24039,52462,2522
"Vigo County, Indiana",18167,52525,2521
"Wilkes County, Georgia",13317,52542,2520
"Assumption Parish, Louisiana",22007,52546,2519
"Carroll County, Virginia",51035,52575,2518
"Brewster County, Texas",48043,52612,2517
"Yukon-Koyukuk Census Area, Alaska",2290,52642,2516
"Hot Spring County, Arkansas",5059,52644,2515
"Roanoke City, Virginia",51770,52671,2514
"Fayette County, West Virginia",54019,52672,2512
"Muhlenberg County, Kentucky",21177,52672,2512
"Nowata County, Oklahoma",40105,52679,2511
"Colfax County, New Mexico",35007,52690,2510
"Otero County, New Mexico",35035,52717,2509
"Washington County, Florida",12133,52723,2508
"Pontotoc County, Mississippi",28115,52741,2507
"Navajo County, Arizona",4017,52752,2506
"Hale County, Texas",48189,52788,2505
"Radford City, Virginia",51750,52791,2504
"Hamblen County, Tennessee",47063,52794,2503
"Caddo County, Oklahoma",40015,52817,2502
"Forrest County, Mississippi",28035,52821,2501
"Wayne County, Tennessee",47181,52824,2500
"Cabell County, West Virginia",54011,52828,2499
